,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
175,175,7241,Bef S'Goon Rd,1.315571421,103.8590062,Lavender St,Kallang
176,176,7249,Aft Kempas Rd,1.315368056,103.8594669,Lavender St,Kallang
177,177,7319,Aft Allenby Rd,1.310388333,103.8587067,Jln Besar,Kallang
178,178,7329,Hoa Nam Bldg,1.312844726,103.8598909,Jln Besar,Kallang
179,179,7331,Aft King George's Ave,1.308249945,103.8589096,Kitchener Rd,Kallang
180,180,7351,ARC 380,1.313518333,103.8605453,Lavender St,Kallang
181,181,7359,OPP ARC 380,1.313682531,103.8607145,Lavender St,Kallang
182,182,7361,Bef Kallang Bahru,1.311676361,103.8618948,Lavender St,Kallang
183,183,7369,Aft Kallang Bahru,1.311408056,103.8623789,Lavender St,Kallang
184,184,7371,Aft Kallang Rd,1.3095075,103.8635014,Lavender St,Kallang
185,185,7379,Aperia/Bef Kallang Rd ,1.310173367,103.8633823,Lavender St,Kallang
186,186,7419,Opp Veerasamy Rd,1.306530241,103.856163,Jln Besar,Rochor
187,187,7517,IBIS S'PORE ON BENCOOLEN,1.301452162,103.8524778,Bencoolen St,Rochor
188,188,7518,OPP NAFA CAMPUS 3,1.300958284,103.8521118,Bencoolen St,Rochor
189,189,7529,JLN BESAR STN EXIT A,1.304319063,103.8550156,Jln Besar,Rochor
190,190,7531,Rochor Stn,1.303656444,103.8525732,Rochor Canal Rd,Rochor
191,191,7539,Opp Rochor Stn,1.304613007,103.852001,Sungei Rd,Rochor
192,192,7551,Fu Lu Shou Cplx,1.301719758,103.8546132,Rochor Rd,Downtown Core
193,193,7561,Bef Waterloo St,1.299454465,103.8526798,Middle Rd,Rochor
194,194,7569,Aft Waterloo St,1.299495313,103.853014,Middle Rd,Rochor
195,195,7571,SUNSHINE PLAZA,1.300634446,103.8511401,Middle Rd,Rochor
196,196,7589,Ch of Our Lady of Lourdes,1.303206098,103.8555,Ophir Rd,Rochor
197,197,8011,Opp Haw Par Glass Twr,1.29706985,103.8436103,Clemenceau Ave,Museum
198,198,8019,Aft Haw Par Glass Twr,1.296246337,103.8440701,Clemenceau Ave,Museum
199,199,8031,Dhoby Ghaut Stn Exit B,1.298311538,103.845257,Penang Rd,Museum
200,200,8041,YMCA,1.298110142,103.8478064,Orchard Rd,Museum
201,201,8057,Dhoby Ghaut Stn,1.299309973,103.8452902,Orchard Rd,Museum
202,202,8058,Aft Dhoby Ghaut Stn,1.298958343,103.8465412,Orchard Rd,Museum
203,203,8069,BENCOOLEN STN EXIT B,1.298213823,103.8493613,Bras Basah Rd,Museum
204,204,8079,Sch of the Arts,1.299214444,103.8491033,Prinsep St,Museum
205,205,8111,Winsland Hse,1.299869287,103.8409375,Penang Rd,Orchard
206,206,8121,Somerset Stn,1.300275693,103.8387762,Somerset Rd,Orchard
207,207,8137,Orchard Plaza,1.300739684,103.841005,Orchard Rd,Orchard
208,208,8138,Concorde Hotel S'pore,1.300478573,103.841847,Orchard Rd,Orchard
209,209,9011,Opp Ngee Ann City,1.302113351,103.8343167,Orchard Turn,Orchard
210,210,9022,Bef Orchard Stn Exit B,1.302528348,103.8323978,Orchard Blvd,River Valley
211,211,9023,Opp Orchard Stn/ION,1.303237273,103.8325418,Orchard Turn,Orchard
212,212,9037,Opp Mandarin Orchard,1.302340042,103.8370125,Orchard Rd,Orchard
213,213,9038,Opp Somerset Stn,1.301542625,103.8385248,Orchard Rd,Orchard
214,214,9047,Orchard Stn/Tang Plaza,1.304460652,103.8329447,Orchard Rd,Orchard
215,215,9048,Orchard Stn/Lucky Plaza,1.303866844,103.8341307,Orchard Rd,Orchard
216,216,9059,Natl Youth Council,1.300442518,103.836238,Grange Rd,Orchard
217,217,9111,Opp Four Seasons Hotel,1.304537526,103.8291453,Orchard Blvd,River Valley
218,218,9121,Bef Tomlinson Rd,1.303973792,103.8269965,Orchard Blvd,River Valley
219,219,9131,Grange Residences,1.30392,103.8233381,Grange Rd,Tanglin
220,220,9139,Aft Cuscaden Rd,1.304199419,103.8235479,Grange Rd,Orchard
221,221,9141,British Council,1.305435,103.8217767,Napier Rd,Tanglin
222,222,9149,Opp British Council,1.306089814,103.8212215,Napier Rd,Tanglin
223,223,9159,Aft Tomlinson Rd,1.306026376,103.8256804,Tanglin Rd,Orchard
224,224,9169,Delfi Orchard,1.307013533,103.8283551,Orchard Rd,Orchard
225,225,9179,Royal Thai Embassy,1.305879662,103.83049,Orchard Rd,Orchard
226,226,9191,The Regent S'pore,1.304886531,103.8254976,Tomlinson Rd,Orchard
227,227,9212,Royal Plaza On Scotts,1.307022384,103.8326552,Scotts Rd,Orchard
228,228,9213,Thong Teck Bldg,1.307838056,103.8330508,Scotts Rd,Orchard
229,229,9219,Far East Plaza,1.307319997,103.8331609,Scotts Rd,Orchard
230,230,10009,Bt Merah Int,1.282101559,103.8172248,Bt Merah Ctrl,Bukit Merah
231,231,10011,BEF NEIL RD,1.277738059,103.8374971,New Bridge Rd,Bukit Merah
