BusStopCode,planning_area,Longitude,Latitude,subzone_name
10299,Queenstown,103.8114649,1.292334985,Margaret Drive
10321,Queenstown,103.8158784,1.294283329,Margaret Drive
10329,Bukit Merah,103.8159746,1.293646713,Alexandra North
10331,Bukit Merah,103.8183442,1.281363066,Bukit Merah
10339,Bukit Merah,103.8185725,1.281158351,Bukit Merah
10341,Bukit Merah,103.820593,1.284846396,Henderson Hill
10349,Bukit Merah,103.8210415,1.284983341,Henderson Hill
10351,Bukit Merah,103.8220499,1.286755018,Henderson Hill
10359,Bukit Merah,103.822593,1.287238333,Henderson Hill
10361,Bukit Merah,103.8235303,1.280380921,Kampong Tiong Bahru
10369,Bukit Merah,103.8238734,1.280374712,Kampong Tiong Bahru
10371,Bukit Merah,103.8245027,1.283650723,Henderson Hill
10379,Bukit Merah,103.8248952,1.283736034,Tiong Bahru Station
10381,Bukit Merah,103.8255941,1.289069722,Henderson Hill
10389,Bukit Merah,103.8257346,1.28875833,Bukit Ho Swee
10391,Bukit Merah,103.8312564,1.276271053,Kampong Tiong Bahru
10399,Bukit Merah,103.8301945,1.275881663,Everton Park
10401,Bukit Merah,103.8116785,1.288167299,Alexandra Hill
10409,Bukit Merah,103.8109932,1.287882218,Alexandra Hill
10411,Bukit Merah,103.8128084,1.289129795,Alexandra Hill
10419,Bukit Merah,103.8125755,1.288420242,Alexandra Hill
10421,Bukit Merah,103.8150354,1.288970616,Alexandra Hill
10429,Bukit Merah,103.8140481,1.289277906,Alexandra Hill
10431,Bukit Merah,103.8139987,1.287083844,Alexandra Hill
10439,Bukit Merah,103.8141894,1.287479569,Alexandra Hill
10441,Bukit Merah,103.8116062,1.286568989,Alexandra Hill
10449,Bukit Merah,103.8119538,1.286665525,Alexandra Hill
10451,Bukit Merah,103.817256,1.287623803,Redhill
10459,Bukit Merah,103.8163992,1.287547234,Redhill
10461,Tanglin,103.8116914,1.296805974,Ridout
10469,Queenstown,103.8121692,1.296684,Margaret Drive
10471,Tanglin,103.8146822,1.296799931,Ridout
10479,Queenstown,103.8154738,1.296681,Margaret Drive
10481,Bukit Merah,103.8179716,1.287841955,Redhill
10489,Bukit Merah,103.8177839,1.288116389,Redhill
10499,Bukit Merah,103.83401,1.275854004,Everton Park
10501,Bukit Merah,103.8252807,1.281058454,Kampong Tiong Bahru
10519,Bukit Merah,103.8261095,1.291723031,Bukit Ho Swee
10599,Bukit Merah,103.80925,1.28883435,Alexandra Hill
10651,Bukit Merah,103.8154767,1.28329993,Bukit Merah
10659,Bukit Merah,103.8147283,1.283623333,Bukit Merah
11009,Queenstown,103.7893224,1.311067355,Ghim Moh
11019,Bukit Merah,103.8056568,1.286796325,Alexandra Hill
11021,Queenstown,103.8022869,1.289418056,Queensway
11029,Queenstown,103.8020211,1.290134722,Mei Chin
11031,Queenstown,103.800455,1.291196667,Queensway
11039,Queenstown,103.7999868,1.292457629,Mei Chin
11041,Queenstown,103.7995233,1.296245,Tanglin Halt
11049,Queenstown,103.7995255,1.295460937,Mei Chin
11051,Queenstown,103.800298,1.298721667,Tanglin Halt
11059,Queenstown,103.8009739,1.298828928,Mei Chin
11061,Queenstown,103.8011869,1.302657778,Commonwealth
11069,Queenstown,103.8016176,1.302368532,Margaret Drive
11071,Queenstown,103.8017094,1.306213056,Commonwealth
11079,Queenstown,103.8018525,1.305441389,Margaret Drive
11081,Tanglin,103.8025803,1.308519722,Leedon Park
11089,Bukit Timah,103.8033409,1.309461355,Ridout
11091,Tanglin,103.8036738,1.312194441,Farrer Court
11099,Bukit Timah,103.8043767,1.313053333,Tyersall
11101,Bukit Timah,103.8059601,1.316149711,Farrer Court
11109,Tanglin,103.8057431,1.315524722,Tyersall
11111,Bukit Timah,103.8077187,1.317801573,Farrer Court
11119,Tanglin,103.8078561,1.317478335,Tyersall
11131,Queenstown,103.8070669,1.292884999,Mei Chin
11139,Queenstown,103.8074469,1.293198611,Margaret Drive
11141,Queenstown,103.8058251,1.294637051,Mei Chin
11149,Queenstown,103.8059628,1.295064071,Margaret Drive
11151,Queenstown,103.8024759,1.298635858,Mei Chin
11159,Queenstown,103.8036266,1.298004408,Margaret Drive
11161,Queenstown,103.7983908,1.302133056,Tanglin Halt
11169,Queenstown,103.7983817,1.302705,Commonwealth
11171,Queenstown,103.7947972,1.305356667,Tanglin Halt
11179,Queenstown,103.7942794,1.306275214,Holland Drive
11181,Queenstown,103.7922764,1.307223333,Tanglin Halt
11189,Queenstown,103.7925422,1.307401389,Holland Drive
11191,Queenstown,103.7883732,1.308016408,One North
11199,Queenstown,103.7884315,1.308379707,Ghim Moh
11201,Tanglin,103.8118645,1.306926429,Ridout
11209,Tanglin,103.8103835,1.308172808,Tyersall
11211,Tanglin,103.8093952,1.308387799,Ridout
11219,Tanglin,103.8071641,1.309885061,Tyersall
11221,Tanglin,103.8054441,1.310022253,Ridout
11229,Tanglin,103.8052254,1.310600659,Tyersall
11231,Bukit Timah,103.8011992,1.311153163,Leedon Park
11239,Bukit Timah,103.8016552,1.311528574,Farrer Court
11259,Queenstown,103.79274,1.311198879,Holland Drive
11261,Queenstown,103.7944462,1.312231684,Leedon Park
11269,Bukit Timah,103.794538,1.312561126,Leedon Park
11271,Bukit Timah,103.7900842,1.314734444,Ulu Pandan
11279,Bukit Timah,103.7906926,1.314668789,Leedon Park
11281,Bukit Timah,103.7885219,1.316226944,Ulu Pandan
11289,Bukit Timah,103.7890434,1.316188914,Leedon Park
11291,Bukit Timah,103.7859233,1.317927778,Ulu Pandan
11299,Bukit Timah,103.7855884,1.318269756,Holland Road
