BusStopCode,Direction,Distance,Operator,ServiceNo,StopSequence
68029,2,11,SBST,103,24
68019,2,11.3,SBST,103,25
67089,2,11.5,SBST,103,26
67041,2,11.9,SBST,103,27
67051,2,12.2,SBST,103,28
67061,2,12.5,SBST,103,29
67071,2,13,SBST,103,30
64129,2,13.3,SBST,103,31
64119,2,13.7,SBST,103,32
64109,2,14.2,SBST,103,33
63219,2,14.6,SBST,103,34
63209,2,14.9,SBST,103,35
63199,2,15.3,SBST,103,36
63189,2,15.6,SBST,103,37
63179,2,15.8,SBST,103,38
63369,2,16.2,SBST,103,39
63149,2,16.4,SBST,103,40
62149,2,16.9,SBST,103,41
62189,2,17.1,SBST,103,42
66009,2,17.8,SBST,103,44
66009,1,0,SBST,105,1
66419,1,0.5,SBST,105,2
66409,1,0.9,SBST,105,3
66399,1,1.3,SBST,105,4
66029,1,1.7,SBST,105,5
66019,1,2.2,SBST,105,6
52069,1,2.7,SBST,105,7
52059,1,2.9,SBST,105,8
52361,1,3.5,SBST,105,9
52279,1,4.1,SBST,105,10
52239,1,4.7,SBST,105,11
52189,1,5,SBST,105,12
52079,1,6.1,SBST,105,13
51099,1,7.3,SBST,105,14
40249,1,8.2,SBST,105,15
40239,1,8.5,SBST,105,16
40229,1,8.9,SBST,105,17
40219,1,9.2,SBST,105,18
40209,1,9.6,SBST,105,19
40199,1,10.1,SBST,105,20
9219,1,10.8,SBST,105,21
9111,1,11.5,SBST,105,22
9121,1,11.8,SBST,105,23
9131,1,12.4,SBST,105,24
9141,1,12.7,SBST,105,25
13011,1,13,SBST,105,26
13021,1,13.6,SBST,105,27
11201,1,13.9,SBST,105,28
11211,1,14.2,SBST,105,29
11221,1,14.7,SBST,105,30
11089,1,15,SBST,105,31
11079,1,15.5,SBST,105,32
11069,1,15.8,SBST,105,33
11161,1,16.4,SBST,105,34
11171,1,16.9,SBST,105,35
11181,1,17.3,SBST,105,36
11191,1,17.8,SBST,105,37
19011,1,18.3,SBST,105,38
19021,1,18.7,SBST,105,39
19031,1,19.1,SBST,105,40
19041,1,19.5,SBST,105,41
17151,1,20.2,SBST,105,42
17161,1,20.5,SBST,105,43
17171,1,20.9,SBST,105,44
17181,1,21.2,SBST,105,45
20101,1,21.5,SBST,105,46
28011,1,22.1,SBST,105,47
28021,1,22.6,SBST,105,48
28031,1,23.1,SBST,105,49
28041,1,23.5,SBST,105,50
28659,1,24.1,SBST,105,51
28649,1,24.8,SBST,105,52
28639,1,25.1,SBST,105,53
28319,1,25.5,SBST,105,54
28449,1,25.8,SBST,105,55
28009,1,26.3,SBST,105,56
28009,2,0,SBST,105,1
28441,2,0.5,SBST,105,3
28311,2,0.9,SBST,105,4
28631,2,1.4,SBST,105,5
28641,2,1.7,SBST,105,6
28651,2,2.3,SBST,105,7
28049,2,2.9,SBST,105,8
28039,2,3.3,SBST,105,9
28029,2,3.6,SBST,105,10
28019,2,4.2,SBST,105,11
20109,2,4.8,SBST,105,12
17189,2,5.2,SBST,105,13
17179,2,5.5,SBST,105,14
17169,2,5.8,SBST,105,15
17159,2,6.2,SBST,105,16
19049,2,6.7,SBST,105,17
19039,2,7.2,SBST,105,18
19029,2,7.7,SBST,105,19
19019,2,8,SBST,105,20
11199,2,8.4,SBST,105,21
11189,2,8.9,SBST,105,22
11179,2,9.1,SBST,105,23
11169,2,9.7,SBST,105,24
11061,2,10.3,SBST,105,25
11071,2,10.7,SBST,105,26
11081,2,11,SBST,105,27
11229,2,11.5,SBST,105,28
11219,2,11.7,SBST,105,29
11209,2,12.1,SBST,105,30
13029,2,12.5,SBST,105,31
13019,2,13.2,SBST,105,32
9149,2,13.3,SBST,105,33
9159,2,13.9,SBST,105,34
9169,2,14.2,SBST,105,35
9179,2,14.5,SBST,105,36
9213,2,15,SBST,105,37
40191,2,15.8,SBST,105,38
40201,2,16.2,SBST,105,39
40211,2,16.6,SBST,105,40
40221,2,16.8,SBST,105,41
40231,2,17.2,SBST,105,42
51091,2,18.7,SBST,105,43
51101,2,19.1,SBST,105,44
52071,2,19.9,SBST,105,45
52181,2,20.5,SBST,105,46
52231,2,20.7,SBST,105,47
52271,2,21.3,SBST,105,48
52369,2,21.9,SBST,105,49
52051,2,22.7,SBST,105,50
52061,2,23.2,SBST,105,51
66011,2,23.8,SBST,105,52
66021,2,24.3,SBST,105,53
66391,2,24.7,SBST,105,54
66401,2,24.9,SBST,105,55
66411,2,25.3,SBST,105,56
66389,2,25.6,SBST,105,57
66009,2,25.7,SBST,105,58
28009,1,0,SBST,105B,1
28441,1,0.5,SBST,105B,3
28311,1,0.9,SBST,105B,4
28631,1,1.4,SBST,105B,5
28641,1,1.7,SBST,105B,6
28651,1,2.3,SBST,105B,7
28049,1,2.9,SBST,105B,8
28039,1,3.3,SBST,105B,9
28029,1,3.6,SBST,105B,10
28019,1,4.2,SBST,105B,11
20109,1,4.8,SBST,105B,12
17189,1,5.2,SBST,105B,13
17179,1,5.5,SBST,105B,14
43009,1,0,TTS,106,1
43179,1,0.6,TTS,106,2
43189,1,1,TTS,106,3
43619,1,1.4,TTS,106,4
43629,1,1.6,TTS,106,5
42319,1,2,TTS,106,6
28109,1,2.7,TTS,106,7
28189,1,3.1,TTS,106,8
28019,1,3.8,TTS,106,9
20109,1,4.4,TTS,106,10
17189,1,4.8,TTS,106,11
17179,1,5.1,TTS,106,12
17169,1,5.4,TTS,106,13
17159,1,5.8,TTS,106,14
19049,1,6.3,TTS,106,15
19039,1,6.8,TTS,106,16
19029,1,7.3,TTS,106,17
19019,1,7.6,TTS,106,18
11199,1,8,TTS,106,19
11189,1,8.5,TTS,106,20
11401,1,8.9,TTS,106,21
11239,1,10,TTS,106,22
11229,1,10.4,TTS,106,23
11219,1,10.6,TTS,106,24
11209,1,11,TTS,106,25
13029,1,11.4,TTS,106,26
13019,1,12.1,TTS,106,27
9149,1,12.2,TTS,106,28
9159,1,12.8,TTS,106,29
9169,1,13.1,TTS,106,30
9179,1,13.4,TTS,106,31
9048,1,13.9,TTS,106,32
9038,1,14.5,TTS,106,33
8138,1,14.9,TTS,106,34
8057,1,15.3,TTS,106,35
8069,1,15.8,TTS,106,36
4179,1,16.1,TTS,106,37
2049,1,16.5,TTS,106,38
2151,1,17.1,TTS,106,39
2161,1,17.8,TTS,106,40
2171,1,18.1,TTS,106,41
3509,1,19,TTS,106,42
3519,1,19.3,TTS,106,43
3539,1,19.9,TTS,106,44
3529,1,20.3,TTS,106,45
3129,1,20.9,TTS,106,46
3218,1,21.4,TTS,106,47
3239,2,0,TTS,106,1
3222,2,0.8,TTS,106,2
3111,2,1.5,TTS,106,3
3071,2,1.8,TTS,106,4
3381,2,2.4,TTS,106,5
3391,2,2.6,TTS,106,6
3511,2,3.3,TTS,106,7
3501,2,3.7,TTS,106,8
2051,2,4.4,TTS,106,9
2061,2,4.7,TTS,106,10
4111,2,5.4,TTS,106,11
4121,2,5.8,TTS,106,12
8041,2,6.1,TTS,106,13
8031,2,6.4,TTS,106,14
8111,2,6.9,TTS,106,15
8121,2,7.2,TTS,106,16
9059,2,7.5,TTS,106,17
9022,2,8,TTS,106,18
9111,2,8.5,TTS,106,19
9121,2,8.8,TTS,106,20
9131,2,9.4,TTS,106,21
9141,2,9.7,TTS,106,22
13011,2,10,TTS,106,23
13021,2,10.6,TTS,106,24
11201,2,10.9,TTS,106,25
11211,2,11.2,TTS,106,26
11221,2,11.7,TTS,106,27
11231,2,12.2,TTS,106,28
11419,2,12.9,TTS,106,29
11409,2,13.4,TTS,106,30
11181,2,13.7,TTS,106,31
11191,2,14.2,TTS,106,32
19011,2,14.7,TTS,106,33
19021,2,15.1,TTS,106,34
19031,2,15.5,TTS,106,35
19041,2,15.9,TTS,106,36
17151,2,16.6,TTS,106,37
17161,2,16.9,TTS,106,38
17171,2,17.3,TTS,106,39
17181,2,17.6,TTS,106,40
20101,2,17.9,TTS,106,41
28011,2,18.5,TTS,106,42
28181,2,19.3,TTS,106,43
28101,2,19.7,TTS,106,44
42311,2,20.4,TTS,106,45
43621,2,20.8,TTS,106,46
43611,2,21.1,TTS,106,47
43181,2,21.4,TTS,106,48
43171,2,21.8,TTS,106,49
43009,2,22.3,TTS,106,50
43009,1,0,TTS,106A,1
43179,1,0.6,TTS,106A,2
43189,1,1,TTS,106A,3
43619,1,1.4,TTS,106A,4
43629,1,1.6,TTS,106A,5
42319,1,2,TTS,106A,6
28109,1,2.7,TTS,106A,7
28189,1,3.1,TTS,106A,8
28019,1,3.8,TTS,106A,9
20109,1,4.4,TTS,106A,10
17189,1,4.8,TTS,106A,11
17179,1,5.1,TTS,106A,12
64009,1,0,SBST,107,1
64391,1,0.5,SBST,107,2
63351,1,0.8,SBST,107,3
63341,1,1.2,SBST,107,4
63059,1,1.7,SBST,107,5
63049,1,2.1,SBST,107,6
63039,1,2.5,SBST,107,7
63029,1,3,SBST,107,8
63019,1,3.6,SBST,107,9
62149,1,3.9,SBST,107,10
62139,1,4.3,SBST,107,11
62129,1,4.6,SBST,107,12
62119,1,4.9,SBST,107,13
61049,1,5.2,SBST,107,14
61039,1,5.6,SBST,107,15
61029,1,5.9,SBST,107,16
61019,1,6.2,SBST,107,17
60269,1,6.5,SBST,107,18
60209,1,6.6,SBST,107,19
60179,1,7.1,SBST,107,20
60221,1,7.7,SBST,107,21
60039,1,8,SBST,107,22
60029,1,8.5,SBST,107,23
60019,1,9,SBST,107,24
7369,1,9.3,SBST,107,25
7379,1,9.5,SBST,107,26
1319,1,9.8,SBST,107,27
1219,1,10.2,SBST,107,28
1239,1,10.5,SBST,107,29
1529,1,10.9,SBST,107,30
1519,1,11.1,SBST,107,31
1629,1,11.5,SBST,107,32
1619,1,11.9,SBST,107,33
2029,1,12.7,SBST,107,34
3019,1,13.3,SBST,107,35
3059,1,13.6,SBST,107,36
3129,1,14,SBST,107,37
3218,1,14.5,SBST,107,38
3239,1,14.7,SBST,107,39
3239,2,0,SBST,107,1
3222,2,0.8,SBST,107,2
3111,2,1.5,SBST,107,3
3031,2,2.1,SBST,107,4
3011,2,2.7,SBST,107,5
2111,2,3.3,SBST,107,6
1611,2,3.9,SBST,107,7
1621,2,4.1,SBST,107,8
1511,2,4.4,SBST,107,9
1521,2,4.7,SBST,107,10
1231,2,5.1,SBST,107,11
1211,2,5.4,SBST,107,12
1311,2,5.7,SBST,107,13
7371,2,6,SBST,107,14
60011,2,6.6,SBST,107,15
60021,2,7.2,SBST,107,16
60031,2,7.7,SBST,107,17
60229,2,8,SBST,107,18
60159,2,8.5,SBST,107,19
60161,2,9.6,SBST,107,23
60201,2,10.2,SBST,107,24
60261,2,10.4,SBST,107,25
61011,2,10.6,SBST,107,26
61021,2,10.9,SBST,107,27
61031,2,11.1,SBST,107,28
61041,2,11.4,SBST,107,29
62111,2,11.8,SBST,107,30
62121,2,12,SBST,107,31
62131,2,12.3,SBST,107,32
62141,2,12.7,SBST,107,33
63011,2,13.2,SBST,107,34
63021,2,13.7,SBST,107,35
63031,2,14.3,SBST,107,36
63041,2,14.6,SBST,107,37
63051,2,14.8,SBST,107,38
63349,2,15.3,SBST,107,39
63359,2,15.8,SBST,107,40
64399,2,16.1,SBST,107,41
64009,2,16.6,SBST,107,42
64009,1,0,SBST,107M,1
64391,1,0.5,SBST,107M,2
63351,1,0.8,SBST,107M,3
63341,1,1.2,SBST,107M,4
63059,1,1.7,SBST,107M,5
63049,1,2.1,SBST,107M,6
63039,1,2.5,SBST,107M,7
63029,1,3,SBST,107M,8
63019,1,3.6,SBST,107M,9
62149,1,3.9,SBST,107M,10
62139,1,4.3,SBST,107M,11
62129,1,4.6,SBST,107M,12
62119,1,4.9,SBST,107M,13
61049,1,5.2,SBST,107M,14
61039,1,5.6,SBST,107M,15
61029,1,5.9,SBST,107M,16
61019,1,6.2,SBST,107M,17
60269,1,6.5,SBST,107M,18
60209,1,6.6,SBST,107M,19
60179,1,7.1,SBST,107M,20
60221,1,7.7,SBST,107M,21
60039,1,8,SBST,107M,22
60029,1,8.5,SBST,107M,23
60019,1,9,SBST,107M,24
7369,1,9.3,SBST,107M,25
7379,1,9.6,SBST,107M,26
1319,1,9.9,SBST,107M,27
1219,1,10.3,SBST,107M,28
1239,1,10.6,SBST,107M,29
1529,1,11,SBST,107M,30
1519,1,11.2,SBST,107M,31
1629,1,11.6,SBST,107M,32
1619,1,11.9,SBST,107M,33
2089,1,12.6,SBST,107M,34
2169,1,13.1,SBST,107M,35
2141,1,13.5,SBST,107M,36
1511,1,14,SBST,107M,37
1521,1,14.3,SBST,107M,38
1231,1,14.7,SBST,107M,39
1211,1,15,SBST,107M,40
1311,1,15.3,SBST,107M,41
7371,1,15.7,SBST,107M,42
60011,1,16.3,SBST,107M,43
60021,1,16.9,SBST,107M,44
60031,1,17.4,SBST,107M,45
60229,1,17.7,SBST,107M,46
60159,1,18.2,SBST,107M,47
60161,1,19.3,SBST,107M,51
60201,1,19.9,SBST,107M,52
60261,1,20.1,SBST,107M,53
61011,1,20.3,SBST,107M,54
61021,1,20.6,SBST,107M,55
61031,1,20.8,SBST,107M,56
61041,1,21.1,SBST,107M,57
62111,1,21.5,SBST,107M,58
62121,1,21.7,SBST,107M,59
62131,1,22,SBST,107M,60
62141,1,22.4,SBST,107M,61
