"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","long.t","lat.t","BusStopCode","Description","RoadName","planning_area","combined.f"
103.8016176,1.302368532,0.186919405824162,0.985107743682715,0.000349653331094858,0,103.8009739,1.298828928,"11069","Queensway Sec Sch","Queensway","Queenstown",-Inf
103.8017094,1.306213056,0.241940118037383,0.986939051492674,5.05228000903059e-05,0,103.8025803,1.308519722,"11071","Blk 97","Queensway","Queenstown",-Inf
103.8018525,1.305441389,0.186836427450547,0.984632469846623,0.000513906354137095,0,103.8016176,1.302368532,"11079","Opp Blk 95","Queensway","Queenstown",-Inf
103.8025803,1.308519722,0.242023096410998,0.987415319654238,3.4374872397615e-05,0.142857142857143,103.8036738,1.312194441,"11081","Viz Holland","Queensway","Tanglin",-13.6554815189065
103.8025803,1.308519722,0.242023096410998,0.987415319654238,3.4374872397615e-05,0.142857142857143,103.8052254,1.310600659,"11081","Viz Holland","Queensway","Tanglin",-13.6554815189065
103.8033409,1.309461355,0.186753449076932,0.984157466793957,0.000755318818200678,0,103.8018525,1.305441389,"11089","Opp Holland Hill Lodge","Queensway","Bukit Timah",-Inf
103.8036738,1.312194441,0.746892112653777,0.987865306493041,9.80496315069167e-05,0,103.8059601,1.316149711,"11091","Tulip Gdn","Farrer Rd","Tanglin",-Inf
103.8043767,1.313053333,0.819851027261724,0.986823803912208,0.00111013711454496,0.142857142857143,103.8033409,1.309461355,"11099","Opp Tulip Gdn","Farrer Rd","Bukit Timah",-8.96107829531551
103.8043767,1.313053333,0.819851027261724,0.986823803912208,0.00111013711454496,0.142857142857143,103.8011992,1.311153163,"11099","Opp Tulip Gdn","Farrer Rd","Bukit Timah",-8.96107829531551
103.8059601,1.316149711,0.746975091027392,0.988343552433286,6.67113375677628e-05,0,103.8077187,1.317801573,"11101","Farrer Rd Mkt","Farrer Rd","Bukit Timah",-Inf
103.8057431,1.315524722,0.819768048888109,0.986345945393694,0.00163163472614928,0,103.8043767,1.313053333,"11109","Spanish Village","Farrer Rd","Tanglin",-Inf
103.8077187,1.317801573,0.747058069401007,0.988822072258057,4.53892838930111e-05,0,103.8092173,1.31908139,"11111","Farrer Rd Stn Exit B","Farrer Rd","Bukit Timah",-Inf
103.8078561,1.317478335,0.819685070514494,0.985868360330126,0.00239811086819435,0,103.8057431,1.315524722,"11119","Farrer Rd Stn Exit A","Farrer Rd","Tanglin",-Inf
103.8070669,1.292884999,0.0478197452279358,0.98791857446682,8.7039803631471e-05,0,103.8058251,1.294637051,"11131","Queens Condo","C'wealth Ave","Queenstown",-Inf
103.8074469,1.293198611,0.0363482567310379,0.982841885416044,8.54239046723042e-05,0,103.8114649,1.292334985,"11139","Blk 53A CP","C'wealth Ave","Queenstown",-Inf
103.8058251,1.294637051,0.0479027236015509,0.988399910441276,5.92204339031954e-05,0,103.8024759,1.298635858,"11141","Queenstown Stn Exit A/D","C'wealth Ave","Queenstown",-Inf
103.8059628,1.295064071,0.0550369127528318,0.986075323120039,0.000125552607403513,0.142857142857143,103.8074469,1.293198611,"11149","Queenstown Stn Exit B/C","C'wealth Ave","Queenstown",-13.8424695663661
103.8059628,1.295064071,0.0550369127528318,0.986075323120039,0.000125552607403513,0.142857142857143,103.8078618,1.291170495,"11149","Queenstown Stn Exit B/C","C'wealth Ave","Queenstown",-13.8424695663661
103.8024759,1.298635858,0.047985701975166,0.988881523842593,4.02925977007881e-05,0.142857142857143,103.8011869,1.302657778,"11151","Blk 42","C'wealth Ave","Queenstown",-15.1132858712102
103.8024759,1.298635858,0.047985701975166,0.988881523842593,4.02925977007881e-05,0.142857142857143,103.7983908,1.302133056,"11151","Blk 42","C'wealth Ave","Queenstown",-15.1132858712102
103.8036266,1.298004408,0.0549539343792167,0.985595325068961,0.000184532155095095,0,103.8059628,1.295064071,"11159","Aft Ch Of Our Saviour","C'wealth Ave","Queenstown",-Inf
103.7983908,1.302133056,0.028667608067207,0.98902283902333,7.42563724873781e-05,0,103.7947972,1.305356667,"11161","C'Wealth Stn Exit A/D","C'wealth Ave","Queenstown",-Inf
103.7983817,1.302705,0.0838762193743718,0.985158429885721,0.000271217913894936,0.285714285714286,103.8009739,1.298828928,"11169","C'Wealth Stn Exit B/C","C'wealth Ave","Queenstown",-11.9587168724107
103.7983817,1.302705,0.0838762193743718,0.985158429885721,0.000271217913894936,0.285714285714286,103.8036266,1.298004408,"11169","C'Wealth Stn Exit B/C","C'wealth Ave","Queenstown",-11.9587168724107
103.7983817,1.302705,0.0838762193743718,0.985158429885721,0.000271217913894936,0.285714285714286,103.8031516,1.299518926,"11169","C'Wealth Stn Exit B/C","C'wealth Ave","Queenstown",-11.9587168724107
103.7947972,1.305356667,0.0287505864408221,0.989504972821026,5.05228000903117e-05,0.285714285714286,103.7922764,1.307223333,"11171","Opp Blk 7B","C'wealth Ave","Queenstown",-14.7054964074986
103.7947972,1.305356667,0.0287505864408221,0.989504972821026,5.05228000903117e-05,0.285714285714286,103.7929322,1.30906501,"11171","Opp Blk 7B","C'wealth Ave","Queenstown",-14.7054964074986
103.7947972,1.305356667,0.0287505864408221,0.989504972821026,5.05228000903117e-05,0.285714285714286,103.7950744,1.309067222,"11171","Opp Blk 7B","C'wealth Ave","Queenstown",-14.7054964074986
103.7942794,1.306275214,0.0762904895733354,0.98467895904344,0.000364250271169645,0,103.7983817,1.302705,"11179","Blk 8","C'wealth Ave","Queenstown",-Inf
103.7922764,1.307223333,0.588892516617604,0.988499915005912,0.000323071649642869,0.285714285714286,103.7883732,1.308016408,"11181","Opp Blk 43","C'wealth Ave","Queenstown",-9.83147772117434
