"from","to","DAY_TYPE","weight","category"
"169","46","WEEKDAY",126,1
"82","46","WEEKENDS/HOLIDAY",90,1
"230","46","WEEKDAY",2,1
"67","46","WEEKENDS/HOLIDAY",18,1
"206","46","WEEKDAY",2,1
"70","46","WEEKENDS/HOLIDAY",18,1
"224","46","WEEKDAY",36,1
"132","46","WEEKDAY",18,1
"27","46","WEEKDAY",1692,1
"208","46","WEEKENDS/HOLIDAY",54,1
"59","46","WEEKENDS/HOLIDAY",72,1
"5","46","WEEKDAY",198,1
"78","46","WEEKDAY",8,1
"165","46","WEEKDAY",12,1
"24","46","WEEKENDS/HOLIDAY",4,1
"148","46","WEEKENDS/HOLIDAY",6,1
"24","46","WEEKDAY",2,1
"77","46","WEEKDAY",18,1
"205","46","WEEKDAY",18,1
"109","46","WEEKENDS/HOLIDAY",2,1
"27","46","WEEKENDS/HOLIDAY",54,1
"119","46","WEEKDAY",18,1
"70","46","WEEKDAY",72,1
"168","46","WEEKENDS/HOLIDAY",12,1
"168","46","WEEKDAY",22,1
"177","183","WEEKDAY",140,1
"177","183","WEEKENDS/HOLIDAY",20,1
"110","183","WEEKENDS/HOLIDAY",60,1
"147","183","WEEKDAY",200,1
"110","183","WEEKDAY",60,1
"147","183","WEEKENDS/HOLIDAY",60,1
"78","58","WEEKENDS/HOLIDAY",18,1
"32","58","WEEKENDS/HOLIDAY",34,1
"6","58","WEEKDAY",18,1
"49","58","WEEKENDS/HOLIDAY",2,1
"45","58","WEEKENDS/HOLIDAY",18,1
"99","58","WEEKDAY",2,1
"92","58","WEEKENDS/HOLIDAY",22,1
"77","58","WEEKDAY",18,1
"119","58","WEEKDAY",12,1
"99","58","WEEKENDS/HOLIDAY",4,1
"119","58","WEEKENDS/HOLIDAY",6,1
"170","58","WEEKENDS/HOLIDAY",4,1
"100","58","WEEKENDS/HOLIDAY",108,1
"103","58","WEEKENDS/HOLIDAY",378,1
"77","58","WEEKENDS/HOLIDAY",18,1
"163","58","WEEKDAY",2208,1
"120","58","WEEKENDS/HOLIDAY",12,1
"109","58","WEEKDAY",38,1
"32","58","WEEKDAY",146,1
"242","58","WEEKDAY",90,1
"133","58","WEEKDAY",792,1
"167","58","WEEKDAY",2,1
"133","58","WEEKENDS/HOLIDAY",306,1
"85","58","WEEKENDS/HOLIDAY",12,1
"199","58","WEEKDAY",126,1
"103","58","WEEKDAY",360,1
"58","58","WEEKENDS/HOLIDAY",414,1
"199","58","WEEKENDS/HOLIDAY",108,1
"78","58","WEEKDAY",18,1
"242","58","WEEKENDS/HOLIDAY",72,1
"69","58","WEEKENDS/HOLIDAY",10,1
"6","58","WEEKENDS/HOLIDAY",18,1
"58","58","WEEKDAY",1080,1
"170","58","WEEKDAY",8,1
"92","58","WEEKDAY",38,1
"100","58","WEEKDAY",214,1
"30","58","WEEKENDS/HOLIDAY",4,1
"131","58","WEEKENDS/HOLIDAY",6,1
"120","58","WEEKDAY",12,1
"137","58","WEEKDAY",8,1
"163","58","WEEKENDS/HOLIDAY",1216,1
"85","58","WEEKDAY",2,1
"109","58","WEEKENDS/HOLIDAY",2,1
"238","58","WEEKDAY",2,1
"69","58","WEEKDAY",16,1
"181","58","WEEKDAY",16,1
"200","58","WEEKDAY",18,1
"181","58","WEEKENDS/HOLIDAY",2,1
"131","58","WEEKDAY",20,1
"307","175","WEEKDAY",20,1
"153","175","WEEKENDS/HOLIDAY",120,1
"237","175","WEEKENDS/HOLIDAY",2360,1
"307","175","WEEKENDS/HOLIDAY",20,1
"136","175","WEEKDAY",240,1
"134","175","WEEKDAY",140,1
