"from","to","DAY_TYPE","weight","category"
"163","108","WEEKDAY",80,1
"271","108","WEEKENDS/HOLIDAY",140,1
"214","108","WEEKENDS/HOLIDAY",60,1
"53","108","WEEKDAY",20,1
"182","108","WEEKENDS/HOLIDAY",20,1
"214","108","WEEKDAY",60,1
"269","108","WEEKENDS/HOLIDAY",2500,1
"118","108","WEEKDAY",580,1
"167","108","WEEKDAY",220,1
"213","108","WEEKDAY",460,1
"103","108","WEEKENDS/HOLIDAY",60,1
"200","108","WEEKENDS/HOLIDAY",20,1
"167","108","WEEKENDS/HOLIDAY",60,1
"118","108","WEEKENDS/HOLIDAY",160,1
"246","108","WEEKENDS/HOLIDAY",160,1
"57","108","WEEKENDS/HOLIDAY",20,1
"182","108","WEEKDAY",20,1
"184","108","WEEKENDS/HOLIDAY",40,1
"269","108","WEEKDAY",4380,1
"108","108","WEEKENDS/HOLIDAY",2000,1
"199","108","WEEKDAY",6100,1
"271","108","WEEKDAY",100,1
"149","108","WEEKENDS/HOLIDAY",20,1
"149","108","WEEKDAY",280,1
"57","108","WEEKDAY",60,1
"27","108","WEEKDAY",320,1
"69","108","WEEKENDS/HOLIDAY",20,1
"232","108","WEEKDAY",140,1
"199","108","WEEKENDS/HOLIDAY",1200,1
"153","108","WEEKENDS/HOLIDAY",140,1
"246","108","WEEKDAY",100,1
"103","108","WEEKDAY",20,1
"221","108","WEEKENDS/HOLIDAY",60,1
"189","108","WEEKDAY",2300,1
"137","108","WEEKDAY",40,1
"248","108","WEEKDAY",60,1
"69","108","WEEKDAY",40,1
"22","108","WEEKDAY",20,1
"221","108","WEEKDAY",200,1
"108","108","WEEKDAY",7040,1
"153","108","WEEKDAY",60,1
"184","108","WEEKDAY",80,1
"189","108","WEEKENDS/HOLIDAY",1180,1
"77","54","WEEKDAY",108,1
"108","54","WEEKDAY",36,1
"126","54","WEEKENDS/HOLIDAY",24,1
"163","54","WEEKDAY",214,1
"48","54","WEEKDAY",18,1
"77","54","WEEKENDS/HOLIDAY",22,1
"163","54","WEEKENDS/HOLIDAY",22,1
"126","54","WEEKDAY",78,1
"149","54","WEEKENDS/HOLIDAY",2,1
"137","54","WEEKENDS/HOLIDAY",270,1
"110","54","WEEKDAY",6,1
"137","54","WEEKDAY",216,1
"200","109","WEEKDAY",54,1
"107","109","WEEKDAY",30,1
"126","109","WEEKDAY",22,1
"165","109","WEEKENDS/HOLIDAY",340,1
"69","109","WEEKENDS/HOLIDAY",40,1
"49","109","WEEKENDS/HOLIDAY",20,1
"228","109","WEEKDAY",20,1
"212","109","WEEKDAY",2,1
"69","109","WEEKDAY",80,1
"165","109","WEEKDAY",1500,1
"184","109","WEEKENDS/HOLIDAY",20,1
"132","109","WEEKDAY",480,1
"57","109","WEEKDAY",640,1
"132","109","WEEKENDS/HOLIDAY",520,1
"82","109","WEEKENDS/HOLIDAY",800,1
"109","109","WEEKENDS/HOLIDAY",1240,1
"57","109","WEEKENDS/HOLIDAY",160,1
"110","109","WEEKENDS/HOLIDAY",1240,1
"82","109","WEEKDAY",2680,1
"109","109","WEEKDAY",3120,1
"137","109","WEEKENDS/HOLIDAY",100,1
"163","109","WEEKENDS/HOLIDAY",80,1
"110","109","WEEKDAY",2760,1
"148","109","WEEKDAY",60,1
"137","109","WEEKDAY",2240,1
"163","109","WEEKDAY",240,1
"15","109","WEEKENDS/HOLIDAY",20,1
"243","162","WEEKENDS/HOLIDAY",20,1
"240","162","WEEKDAY",440,1
"181","162","WEEKDAY",100,1
"180","162","WEEKENDS/HOLIDAY",100,1
"240","162","WEEKENDS/HOLIDAY",160,1
"243","162","WEEKDAY",20,1
"157","162","WEEKDAY",120,1
"157","162","WEEKENDS/HOLIDAY",40,1
"180","162","WEEKDAY",180,1
"163","162","WEEKENDS/HOLIDAY",40,1
"45","181","WEEKDAY",120,1
"45","181","WEEKENDS/HOLIDAY",300,1
"272","181","WEEKDAY",20,1
"239","181","WEEKENDS/HOLIDAY",20,1
"126","181","WEEKDAY",120,1
"211","181","WEEKENDS/HOLIDAY",20,1
"29","181","WEEKENDS/HOLIDAY",40,1
"250","181","WEEKENDS/HOLIDAY",40,1
