"id","name","district","x","y","weight"
"45","MARINA CENTRE","Central Region",30938.0985,30471.8267,14
"46","BRAS BASAH","Central Region",29793.0931,30958.0952,8
"47","OXLEY","Central Region",28802.3555,31053.6717,1
"48","CITY HALL","Central Region",30209.0736,30536.5079,17
"49","MEI CHIN","Central Region",24651.0693,30651.134,16
"50","EAST COAST","Central Region",36386.5261,31338.9016,6
"51","NATIONAL UNIVERSITY OF S'PORE","Central Region",21688.9243,30930.1213,25
"52","ONE TREE HILL","Central Region",27315.5592,31563.7968,6
"53","SOMERSET","Central Region",28626.5611,31494.9048,7
"54","BENCOOLEN","Central Region",29999.0626,31594.594,3
"55","LEONIE HILL","Central Region",28082.9397,31145.1079,3
"56","PORT","Central Region",21576.0765,28788.2172,15
"57","DHOBY GHAUT","Central Region",29320.0735,31245.7483,5
"58","BUGIS","Central Region",30528.3347,31278.4644,12
"59","VICTORIA","Central Region",30189.2101,31335.7252,8
"60","PATERSON","Central Region",27809.3171,31511.3733,2
"61","TELOK BLANGAH RISE","Central Region",27029.9638,28501.6649,11
"62","TANJONG PAGAR","Central Region",29397.831,28706.3515,2
"63","EVERTON PARK","Central Region",28333.5771,28602.9926,9
"64","TANGLIN HALT","Central Region",23925.4408,31512.7857,9
"65","MACKENZIE","Central Region",29680.0182,32062.9263,1
"66","SUNGEI ROAD","Central Region",30601.3445,32003.1028,2
"67","ONE NORTH","Central Region",23299.2437,31176.1605,29
"68","TANJONG RHU","Central Region",32740.1208,31438.3084,22
"69","MOUNTBATTEN","Central Region",34449.7044,31557.7446,14
"70","COMMONWEALTH","Central Region",24278.7709,31919.97,5
"71","DOVER","Central Region",22015.5324,31800.5247,12
"72","RIDOUT","Central Region",25568.3077,31752.6686,12
"74","CLEMENTI WEST","West Region",20184.3508,31651.8834,18
"75","TUAS VIEW EXTENSION","West Region",5092.8949,26137.8735,10
"76","MONK'S HILL","Central Region",28922.8456,32259.7856,1
"77","SIGLAP","East Region",38435.4679,32101.8812,14
"78","CLEMENTI WOODS","West Region",20764.198,31824.7421,17
"79","PIONEER SECTOR","West Region",8872.7501,31423.4434,18
"80","PENJURU CRESCENT","West Region",17651.309,31799.6102,20
"81","ORANGE GROVE","Central Region",27668.1841,32484.764,1
"82","KAMPONG BUGIS","Central Region",32138.2216,32275.6907,8
"83","BOULEVARD","Central Region",27916.9271,31967.0064,9
"84","ISTANA NEGARA","Central Region",29226.8284,31963.2894,1
"85","LITTLE INDIA","Central Region",30307.5102,32122.9908,1
"86","GUL BASIN","West Region",10327.4233,31746.7616,15
"87","FORT CANNING","Central Region",29413.9718,30713.0723,6
"88","FARRER COURT","Central Region",24862.8217,33234.7951,5
"89","TUAS VIEW","West Region",5753.6337,31501.4549,39
"90","NASSIM","Central Region",27002.6928,32905.576,13
"91","WEST COAST","West Region",19293.7625,33172.6228,4
"92","BAYSHORE","East Region",40835.377,32903.5965,11
"93","BENOI SECTOR","West Region",11668.2441,33336.5267,20
"94","GUL CIRCLE","West Region",9693.9712,33074.429,34
"95","CHATSWORTH","Central Region",26896.4019,31045.0187,13
"96","KAMPONG GLAM","Central Region",30934.989,31623.1483,6
"97","SELEGIE","Central Region",29817.3304,31611.0039,2
"99","ROCHOR CANAL","Central Region",30693.783,31819.1316,3
"100","CRAWFORD","Central Region",31396.8906,31457.287,12
"101","MARGARET DRIVE","Central Region",25202.7614,31065.9731,17
"102","TANGLIN","Central Region",27162.8757,31905.7324,2
"103","MARINE PARADE","Central Region",36263.9827,31684.2656,19
"104","JURONG RIVER","West Region",16367.556,33519.9926,10
"105","GEYLANG BAHRU","Central Region",32110.0626,33765.6746,10
"106","FABER","West Region",19489.6559,33800.8662,7
"107","MALCOLM","Central Region",28070.2584,33930.2568,11
"108","BEDOK SOUTH","East Region",40379.4208,33744.2238,37
"109","BENDEMEER","Central Region",31175.9571,33827.9445,17
"110","BALESTIER","Central Region",29975.2639,34194.0676,31
"111","TUAS BAY","West Region",6921.1588,33401.4189,41
"112","JOO KOON","West Region",10883.9466,34203.6959,43
"113","KALLANG WAY","Central Region",32761.4923,34229.7192,16
"114","INTERNATIONAL BUSINESS PARK","West Region",18514.5995,34285.7972,4
