,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,BusStopCode_x,RoadName_Origin,Description_Origin,Planning_Area_Origin,Latitude_Origin,Longitude_Origin,BusStopCode_y,RoadName_Destination,Description_Destination,Planning_Area_Destination,Latitude_Destination,Longitude_Destination
5820,2020-01,WEEKENDS/HOLIDAY,16,BUS,80039,3129,4,80039.0,Geylang Rd,Opp Lor 1 Geylang Ter,KALLANG,1.30992336177794,103.87144344651483,3129.0,Shenton Way,UIC Bldg,DOWNTOWN CORE,1.27807003532092,103.84956718123823
5821,2020-01,WEEKENDS/HOLIDAY,23,BUS,28409,52361,40,28409.0,Jurong West Ave 1,Blk 454,JURONG WEST,1.35081149361542,103.71793769087185,52361.0,Lor 6 Toa Payoh,Blk 1,TOA PAYOH,1.33974408909931,103.85298121607643
5822,2020-01,WEEKDAY,23,BUS,28409,52361,40,28409.0,Jurong West Ave 1,Blk 454,JURONG WEST,1.35081149361542,103.71793769087185,52361.0,Lor 6 Toa Payoh,Blk 1,TOA PAYOH,1.33974408909931,103.85298121607643
5823,2020-01,WEEKDAY,10,BUS,44531,44689,2340,44531.0,Choa Chu Kang Ave 4,Opp Choa Chu Kang Stn,CHOA CHU KANG,1.38425405298158,103.74453624872068,44689.0,Choa Chu Kang Ave 3,Sunshine Pl,CHOA CHU KANG,1.37811000397911,103.73849893266107
5824,2020-01,WEEKENDS/HOLIDAY,10,BUS,44531,44689,1160,44531.0,Choa Chu Kang Ave 4,Opp Choa Chu Kang Stn,CHOA CHU KANG,1.38425405298158,103.74453624872068,44689.0,Choa Chu Kang Ave 3,Sunshine Pl,CHOA CHU KANG,1.37811000397911,103.73849893266107
5825,2020-01,WEEKENDS/HOLIDAY,10,BUS,46441,46419,40,46441.0,Woodlands St 82,Blk 816,WOODLANDS,1.44219465826527,103.78973710977665,46419.0,Woodlands Ave 4,Evergreen Pr Sch,WOODLANDS,1.44356110989447,103.79409801518702
5826,2020-01,WEEKDAY,10,BUS,46441,46419,80,46441.0,Woodlands St 82,Blk 816,WOODLANDS,1.44219465826527,103.78973710977665,46419.0,Woodlands Ave 4,Evergreen Pr Sch,WOODLANDS,1.44356110989447,103.79409801518702
5827,2020-01,WEEKENDS/HOLIDAY,11,BUS,98041,95039,20,98041.0,Loyang Ave,Opp Loyang Valley,PASIR RIS,1.36905889178012,103.96968330432956,95039.0,Airport Cargo Rd,Airfreight Ter Bldg,CHANGI,1.37218943783154,103.9945787903322
5828,2020-01,WEEKDAY,11,BUS,98041,95039,60,98041.0,Loyang Ave,Opp Loyang Valley,PASIR RIS,1.36905889178012,103.96968330432956,95039.0,Airport Cargo Rd,Airfreight Ter Bldg,CHANGI,1.37218943783154,103.9945787903322
5829,2020-01,WEEKDAY,7,BUS,45079,44159,20,45079.0,Woodlands Rd,Aft Mandai Rd,SUNGEI KADUT,1.40959346067748,103.75588199006808,44159.0,Bt Batok Rd,Bt Batok Fire Stn,BUKIT BATOK,1.37401429037273,103.7525923087755
