Row Labels,,,
Ang Mo Kio,,,
Airport Road,"'Airport Road', ",,"'Airport Road', 'Anson', 'Bencoolen', 'Boat Quay', 'Boulevard', 'Bras Basah', 'Central Water Catchment', 'Chatsworth', 'China Square', 'Chinatown', 'Clarke Quay', 'Crawford', 'Dhoby Ghaut', 'Everton Park', 'Farrer Court', 'Farrer Park', 'Fort Canning', 'Goodwood Park', 'Hong Kah North', 'Institution Hill', 'Istana Negara', 'Kampong Glam', 'Lavender', 'Leedon Park', 'Leonie Hill', 'Little India', 'Mackenzie', 'Mandai East', 'Mandai West', 'Marina South', 'Monk's Hill', 'Moulmein', 'Nassim', 'Newton Circus', 'One Tree Hill', 'Orange Grove', 'Oxley', 'Paterson', 'Paya Lebar East', 'Paya Lebar North', 'Paya Lebar West', 'Pearl's Hill', 'Peng Siang', 'People's Park', 'Plab', 'Ridout', 'Robertson Quay', 'Rochor Canal', 'Selegie', 'Seletar', 'Seletar Aerospace Park', 'Sentosa', 'Somerset', 'Straits View', 'Sungei Road', 'Tampines North', 'Tampines West', 'Tanglin', 'Tengah', 'Tyersall', 'Upper Thomson', 'Victoria', 'Yishun West', "
Anson,"'Anson', ",,
Bencoolen,"'Bencoolen', ",,
Boat Quay,"'Boat Quay', ",,
Boulevard,"'Boulevard', ",,
Bras Basah,"'Bras Basah', ",,
Central Water Catchment,"'Central Water Catchment', ",,
Chatsworth,"'Chatsworth', ",,
China Square,"'China Square', ",,
Chinatown,"'Chinatown', ",,
Clarke Quay,"'Clarke Quay', ",,
Crawford,"'Crawford', ",,
Dhoby Ghaut,"'Dhoby Ghaut', ",,
Everton Park,"'Everton Park', ",,
Farrer Court,"'Farrer Court', ",,
Farrer Park,"'Farrer Park', ",,
Fort Canning,"'Fort Canning', ",,
Goodwood Park,"'Goodwood Park', ",,
Hong Kah North,"'Hong Kah North', ",,
Institution Hill,"'Institution Hill', ",,
Istana Negara,"'Istana Negara', ",,
Kampong Glam,"'Kampong Glam', ",,
Lavender,"'Lavender', ",,
Leedon Park,"'Leedon Park', ",,
Leonie Hill,"'Leonie Hill', ",,
Little India,"'Little India', ",,
Mackenzie,"'Mackenzie', ",,
Mandai East,"'Mandai East', ",,
Mandai West,"'Mandai West', ",,
Marina South,"'Marina South', ",,
Monk's Hill,"'Monk's Hill', ",,
Moulmein,"'Moulmein', ",,
Nassim,"'Nassim', ",,
Newton Circus,"'Newton Circus', ",,
One Tree Hill,"'One Tree Hill', ",,
Orange Grove,"'Orange Grove', ",,
Oxley,"'Oxley', ",,
Paterson,"'Paterson', ",,
Paya Lebar East,"'Paya Lebar East', ",,
Paya Lebar North,"'Paya Lebar North', ",,
Paya Lebar West,"'Paya Lebar West', ",,
Pearl's Hill,"'Pearl's Hill', ",,
Peng Siang,"'Peng Siang', ",,
People's Park,"'People's Park', ",,
Plab,"'Plab', ",,
Ridout,"'Ridout', ",,
Robertson Quay,"'Robertson Quay', ",,
Rochor Canal,"'Rochor Canal', ",,
Selegie,"'Selegie', ",,
Seletar,"'Seletar', ",,
Seletar Aerospace Park,"'Seletar Aerospace Park', ",,
Sentosa,"'Sentosa', ",,
Somerset,"'Somerset', ",,
Straits View,"'Straits View', ",,
Sungei Road,"'Sungei Road', ",,
Tampines North,"'Tampines North', ",,
Tampines West,"'Tampines West', ",,
Tanglin,"'Tanglin', ",,
Tengah,"'Tengah', ",,
Tyersall,"'Tyersall', ",,
Upper Thomson,"'Upper Thomson', ",,
Victoria,"'Victoria', ",,
Yishun West,"'Yishun West', ",,
Pasir Ris,"'Pasir Ris', ",,
Changi West,"'Changi West', ",,"'Changi West', 'Flora Drive', 'Loyang East', 'Loyang West', 'Pasir Ris Central', 'Pasir Ris Drive', 'Pasir Ris Park', 'Pasir Ris Wafer Fab Park', 'Pasir Ris West', "
Flora Drive,"'Flora Drive', ",,
Loyang East,"'Loyang East', ",,
Loyang West,"'Loyang West', ",,
Pasir Ris Central,"'Pasir Ris Central', ",,
Pasir Ris Drive,"'Pasir Ris Drive', ",,
Pasir Ris Park,"'Pasir Ris Park', ",,
Pasir Ris Wafer Fab Park,"'Pasir Ris Wafer Fab Park', ",,
Pasir Ris West,"'Pasir Ris West', ",,
Pioneer,"'Pioneer', ",,
Benoi Sector,"'Benoi Sector', ",,"'Benoi Sector', 'Gul Basin', 'Gul Circle', 'Joo Koon', 'Liu Fang', 'Pioneer Sector', "
Gul Basin,"'Gul Basin', ",,
Gul Circle,"'Gul Circle', ",,
Joo Koon,"'Joo Koon', ",,
Liu Fang,"'Liu Fang', ",,
Pioneer Sector,"'Pioneer Sector', ",,
Punggol,"'Punggol', ",,
Matilda,"'Matilda', ",,"'Matilda', 'Northshore', 'Punggol Field', 'Punggol Town Centre', 'Waterway East', "
Northshore,"'Northshore', ",,
Punggol Field,"'Punggol Field', ",,
Punggol Town Centre,"'Punggol Town Centre', ",,
Waterway East,"'Waterway East', ",,
Queenstown,"'Queenstown', ",,
Alexandra Hill,"'Alexandra Hill', ",,"'Alexandra Hill', 'Clementi North', 'Clementi West', 'Clementi Woods', 'Commonwealth', 'Dover', 'Ghim Moh', 'Holland Drive', 'Kent Ridge', 'Leedon Park', 'Margaret Drive', 'Mei Chin', 'National University Of S'pore', 'One North', 'Pasir Panjang 1', 'Pasir Panjang 2', 'Port', 'Queensway', 'Singapore Polytechnic', 'Tanglin Halt', 'Telok Blangah Drive', "
Clementi North,"'Clementi North', ",,
Clementi West,"'Clementi West', ",,
Clementi Woods,"'Clementi Woods', ",,
Commonwealth,"'Commonwealth', ",,
Dover,"'Dover', ",,
Ghim Moh,"'Ghim Moh', ",,
Holland Drive,"'Holland Drive', ",,
Kent Ridge,"'Kent Ridge', ",,
Leedon Park,"'Leedon Park', ",,
Margaret Drive,"'Margaret Drive', ",,
Mei Chin,"'Mei Chin', ",,
National University Of S'pore,"'National University Of S'pore', ",,
One North,"'One North', ",,
Pasir Panjang 1,"'Pasir Panjang 1', ",,
Pasir Panjang 2,"'Pasir Panjang 2', ",,
Port,"'Port', ",,
Queensway,"'Queensway', ",,
Singapore Polytechnic,"'Singapore Polytechnic', ",,
Tanglin Halt,"'Tanglin Halt', ",,
Telok Blangah Drive,"'Telok Blangah Drive', ",,
Sembawang,"'Sembawang', ",,
Admiralty,"'Admiralty', ",,"'Admiralty', 'Sembawang Central', 'Sembawang East', 'Sembawang North', 'Sembawang Springs', 'Sembawang Straits', 'Senoko North', 'Senoko South', 'Senoko West', 'The Wharves', "
Sembawang Central,"'Sembawang Central', ",,
Sembawang East,"'Sembawang East', ",,
Sembawang North,"'Sembawang North', ",,
Sembawang Springs,"'Sembawang Springs', ",,
Sembawang Straits,"'Sembawang Straits', ",,
Senoko North,"'Senoko North', ",,
Senoko South,"'Senoko South', ",,
Senoko West,"'Senoko West', ",,
The Wharves,"'The Wharves', ",,
Sengkang,"'Sengkang', ",,
Anchorvale,"'Anchorvale', ",,"'Anchorvale', 'Compassvale', 'Fernvale', 'Hougang West', 'Rivervale', 'Sengkang Town Centre', 'Sengkang West', "
Compassvale,"'Compassvale', ",,
Fernvale,"'Fernvale', ",,
Hougang West,"'Hougang West', ",,
Rivervale,"'Rivervale', ",,
Sengkang Town Centre,"'Sengkang Town Centre', ",,
Sengkang West,"'Sengkang West', ",,
Serangoon,"'Serangoon', ",,
Bidadari,"'Bidadari', ",,"'Bidadari', 'Kovan', 'Lorong Chuan', 'Seletar Hills', 'Serangoon Central', 'Serangoon Garden', 'Serangoon North', 'Serangoon North Ind Estate', 'Tai Seng', 'Trafalgar', 'Upper Paya Lebar', "
Kovan,"'Kovan', ",,
Lorong Chuan,"'Lorong Chuan', ",,
Seletar Hills,"'Seletar Hills', ",,
Serangoon Central,"'Serangoon Central', ",,
Serangoon Garden,"'Serangoon Garden', ",,
Serangoon North,"'Serangoon North', ",,
Serangoon North Ind Estate,"'Serangoon North Ind Estate', ",,
Tai Seng,"'Tai Seng', ",,
Trafalgar,"'Trafalgar', ",,
Upper Paya Lebar,"'Upper Paya Lebar', ",,
Sungei Kadut,"'Sungei Kadut', ",,
Gali Batu,"'Gali Batu', ",,"'Gali Batu', 'Kranji', 'Pang Sua', 'Reservoir View', 'Turf Club', "
Kranji,"'Kranji', ",,
Pang Sua,"'Pang Sua', ",,
Reservoir View,"'Reservoir View', ",,
Turf Club,"'Turf Club', ",,
