"BusStopCode","planning_area","Longitude","Latitude","subzone_name","district"
6169,"SINGAPORE RIVER",103.8399894,1.289370789,"Robertson Quay","CENTRAL REGION"
6171,"OUTRAM",103.8425356,1.286101944,"Pearl's Hill","CENTRAL REGION"
6189,"OUTRAM",103.8432943,1.287791365,"Clarke Quay","CENTRAL REGION"
7011,"ROCHOR",103.8498102,1.300996991,"Selegie","CENTRAL REGION"
7021,"ROCHOR",103.8499578,1.303245216,"Selegie","CENTRAL REGION"
7031,"ROCHOR",103.8512058,1.305720833,"Farrer Park","CENTRAL REGION"
7111,"ROCHOR",103.8531752,1.308793665,"Farrer Park","CENTRAL REGION"
7211,"KALLANG",103.8563561,1.313137477,"Lavender","CENTRAL REGION"
7221,"KALLANG",103.857819,1.314966,"Lavender","CENTRAL REGION"
7231,"KALLANG",103.8573711,1.309658889,"Lavender","CENTRAL REGION"
7241,"KALLANG",103.8590062,1.315571421,"Lavender","CENTRAL REGION"
7249,"KALLANG",103.8594669,1.315368056,"Bendemeer","CENTRAL REGION"
7319,"KALLANG",103.8587067,1.310388333,"Lavender","CENTRAL REGION"
7329,"KALLANG",103.8598909,1.312844726,"Lavender","CENTRAL REGION"
7331,"KALLANG",103.8589096,1.308249945,"Lavender","CENTRAL REGION"
7351,"KALLANG",103.8605453,1.313518333,"Lavender","CENTRAL REGION"
7359,"KALLANG",103.8607145,1.313682531,"Kallang Bahru","CENTRAL REGION"
7361,"KALLANG",103.8618948,1.311676361,"Lavender","CENTRAL REGION"
7369,"KALLANG",103.8623789,1.311408056,"Kallang Bahru","CENTRAL REGION"
7371,"KALLANG",103.8635014,1.3095075,"Lavender","CENTRAL REGION"
7379,"KALLANG",103.8633823,1.310173367,"Kallang Bahru","CENTRAL REGION"
7419,"ROCHOR",103.856163,1.306530241,"Sungei Road","CENTRAL REGION"
7517,"ROCHOR",103.8524778,1.301452162,"Bencoolen","CENTRAL REGION"
7518,"ROCHOR",103.8521118,1.300958284,"Victoria","CENTRAL REGION"
7529,"ROCHOR",103.8550156,1.304319063,"Sungei Road","CENTRAL REGION"
7531,"ROCHOR",103.8525732,1.303656444,"Bencoolen","CENTRAL REGION"
7539,"ROCHOR",103.852001,1.304613007,"Little India","CENTRAL REGION"
7551,"DOWNTOWN CORE",103.8546132,1.301719758,"Victoria","CENTRAL REGION"
7561,"ROCHOR",103.8526798,1.299454465,"Victoria","CENTRAL REGION"
7569,"ROCHOR",103.853014,1.299495313,"Victoria","CENTRAL REGION"
7571,"ROCHOR",103.8511401,1.300634446,"Bencoolen","CENTRAL REGION"
7589,"ROCHOR",103.8555,1.303206098,"Rochor Canal","CENTRAL REGION"
8011,"MUSEUM",103.8436103,1.29706985,"Dhoby Ghaut","CENTRAL REGION"
8019,"MUSEUM",103.8440701,1.296246337,"Fort Canning","CENTRAL REGION"
8031,"MUSEUM",103.845257,1.298311538,"Dhoby Ghaut","CENTRAL REGION"
8041,"MUSEUM",103.8478064,1.298110142,"Bras Basah","CENTRAL REGION"
8057,"MUSEUM",103.8452902,1.299309973,"Dhoby Ghaut","CENTRAL REGION"
8058,"MUSEUM",103.8465412,1.298958343,"Dhoby Ghaut","CENTRAL REGION"
8069,"MUSEUM",103.8493613,1.298213823,"Bras Basah","CENTRAL REGION"
8079,"MUSEUM",103.8491033,1.299214444,"Dhoby Ghaut","CENTRAL REGION"
8111,"ORCHARD",103.8409375,1.299869287,"Somerset","CENTRAL REGION"
8121,"ORCHARD",103.8387762,1.300275693,"Somerset","CENTRAL REGION"
8137,"ORCHARD",103.841005,1.300739684,"Somerset","CENTRAL REGION"
8138,"ORCHARD",103.841847,1.300478573,"Somerset","CENTRAL REGION"
9011,"ORCHARD",103.8343167,1.302113351,"Boulevard","CENTRAL REGION"
9022,"RIVER VALLEY",103.8323978,1.302528348,"Paterson","CENTRAL REGION"
9023,"ORCHARD",103.8325418,1.303237273,"Boulevard","CENTRAL REGION"
9037,"ORCHARD",103.8370125,1.302340042,"Somerset","CENTRAL REGION"
9038,"ORCHARD",103.8385248,1.301542625,"Somerset","CENTRAL REGION"
9047,"ORCHARD",103.8329447,1.304460652,"Boulevard","CENTRAL REGION"
9048,"ORCHARD",103.8341307,1.303866844,"Boulevard","CENTRAL REGION"
9059,"ORCHARD",103.836238,1.300442518,"Somerset","CENTRAL REGION"
9111,"RIVER VALLEY",103.8291453,1.304537526,"One Tree Hill","CENTRAL REGION"
9121,"RIVER VALLEY",103.8269965,1.303973792,"One Tree Hill","CENTRAL REGION"
9131,"TANGLIN",103.8233381,1.30392,"Chatsworth","CENTRAL REGION"
9139,"ORCHARD",103.8235479,1.304199419,"Tanglin","CENTRAL REGION"
9141,"TANGLIN",103.8217767,1.305435,"Ridout","CENTRAL REGION"
9149,"TANGLIN",103.8212215,1.306089814,"Nassim","CENTRAL REGION"
9159,"ORCHARD",103.8256804,1.306026376,"Nassim","CENTRAL REGION"
9169,"ORCHARD",103.8283551,1.307013533,"Boulevard","CENTRAL REGION"
9179,"ORCHARD",103.83049,1.305879662,"Boulevard","CENTRAL REGION"
9191,"ORCHARD",103.8254976,1.304886531,"Tanglin","CENTRAL REGION"
9212,"ORCHARD",103.8326552,1.307022384,"Boulevard","CENTRAL REGION"
9213,"ORCHARD",103.8330508,1.307838056,"Boulevard","CENTRAL REGION"
9219,"ORCHARD",103.8331609,1.307319997,"Boulevard","CENTRAL REGION"
10009,"BUKIT MERAH",103.8172248,1.282101559,"Bukit Merah","CENTRAL REGION"
10011,"BUKIT MERAH",103.8374971,1.277738059,"Everton Park","CENTRAL REGION"
10017,"BUKIT MERAH",103.8376257,1.278320466,"Singapore General Hospital","CENTRAL REGION"
10018,"BUKIT MERAH",103.8386036,1.279008197,"Singapore General Hospital","CENTRAL REGION"
10021,"BUKIT MERAH",103.8383889,1.277448379,"Everton Park","CENTRAL REGION"
10041,"BUKIT MERAH",103.8351907,1.276058348,"Everton Park","CENTRAL REGION"
10049,"BUKIT MERAH",103.8348379,1.276233024,"Singapore General Hospital","CENTRAL REGION"
10051,"BUKIT MERAH",103.8321441,1.277411635,"Kampong Tiong Bahru","CENTRAL REGION"
10059,"BUKIT MERAH",103.8327518,1.277396642,"Singapore General Hospital","CENTRAL REGION"
10061,"BUKIT MERAH",103.8294864,1.278604722,"Kampong Tiong Bahru","CENTRAL REGION"
10069,"BUKIT MERAH",103.8300825,1.278554722,"Singapore General Hospital","CENTRAL REGION"
10071,"BUKIT MERAH",103.8263892,1.280453094,"Kampong Tiong Bahru","CENTRAL REGION"
10079,"BUKIT MERAH",103.8270891,1.280395014,"Tiong Bahru Station","CENTRAL REGION"
10081,"BUKIT MERAH",103.8224174,1.282278354,"Bukit Merah","CENTRAL REGION"
10089,"BUKIT MERAH",103.8216566,1.282923322,"Henderson Hill","CENTRAL REGION"
10091,"BUKIT MERAH",103.8178396,1.283941086,"Bukit Merah","CENTRAL REGION"
10099,"BUKIT MERAH",103.8176572,1.284209239,"Redhill","CENTRAL REGION"
10101,"BUKIT MERAH",103.8137833,1.285061952,"Bukit Merah","CENTRAL REGION"
10109,"BUKIT MERAH",103.8137053,1.285353157,"Alexandra Hill","CENTRAL REGION"
10111,"BUKIT MERAH",103.8093541,1.285928351,"Alexandra Hill","CENTRAL REGION"
10119,"BUKIT MERAH",103.8112252,1.28598009,"Alexandra Hill","CENTRAL REGION"
10121,"BUKIT MERAH",103.8289054,1.282599246,"Tiong Bahru","CENTRAL REGION"
10129,"BUKIT MERAH",103.8285719,1.28232,"Tiong Bahru Station","CENTRAL REGION"
10131,"BUKIT MERAH",103.8068655,1.286191414,"Alexandra Hill","CENTRAL REGION"
10139,"BUKIT MERAH",103.8081,1.286351354,"Alexandra Hill","CENTRAL REGION"
10141,"BUKIT MERAH",103.8323818,1.285838471,"Tiong Bahru","CENTRAL REGION"
10149,"BUKIT MERAH",103.8328338,1.286067975,"Tiong Bahru","CENTRAL REGION"
10151,"BUKIT MERAH",103.8285292,1.285720484,"Tiong Bahru Station","CENTRAL REGION"
10161,"BUKIT MERAH",103.8266897,1.285931354,"Tiong Bahru Station","CENTRAL REGION"
10169,"BUKIT MERAH",103.8274812,1.285999614,"Tiong Bahru Station","CENTRAL REGION"
10171,"BUKIT MERAH",103.82346,1.28736808,"Henderson Hill","CENTRAL REGION"
10179,"BUKIT MERAH",103.8239583,1.287223333,"Henderson Hill","CENTRAL REGION"
10181,"BUKIT MERAH",103.8210974,1.288503994,"Henderson Hill","CENTRAL REGION"
10189,"BUKIT MERAH",103.8218319,1.288588052,"Henderson Hill","CENTRAL REGION"
10191,"BUKIT MERAH",103.8190312,1.28860026,"Redhill","CENTRAL REGION"
10199,"BUKIT MERAH",103.8193662,1.288757233,"Henderson Hill","CENTRAL REGION"
10201,"BUKIT MERAH",103.8166285,1.289281445,"Redhill","CENTRAL REGION"
10209,"BUKIT MERAH",103.8167289,1.289546317,"Redhill","CENTRAL REGION"
10211,"BUKIT MERAH",103.8114417,1.290755,"Alexandra Hill","CENTRAL REGION"
10219,"BUKIT MERAH",103.8119142,1.290895267,"Alexandra Hill","CENTRAL REGION"
10221,"BUKIT MERAH",103.8311179,1.290329066,"Bukit Ho Swee","CENTRAL REGION"
10229,"BUKIT MERAH",103.8317819,1.290521378,"Bukit Ho Swee","CENTRAL REGION"
10231,"BUKIT MERAH",103.827881,1.290418509,"Bukit Ho Swee","CENTRAL REGION"
10239,"BUKIT MERAH",103.828653,1.290606888,"Bukit Ho Swee","CENTRAL REGION"
10241,"BUKIT MERAH",103.8236233,1.290616667,"Henderson Hill","CENTRAL REGION"
10249,"BUKIT MERAH",103.8240778,1.290881389,"Alexandra North","CENTRAL REGION"
10261,"BUKIT MERAH",103.8204723,1.290903358,"Henderson Hill","CENTRAL REGION"
10269,"BUKIT MERAH",103.8205758,1.291253319,"Alexandra North","CENTRAL REGION"
10271,"BUKIT MERAH",103.8175767,1.29116,"Redhill","CENTRAL REGION"
10279,"BUKIT MERAH",103.8175766,1.291513732,"Alexandra North","CENTRAL REGION"
10281,"BUKIT MERAH",103.8144517,1.291538333,"Alexandra Hill","CENTRAL REGION"
10289,"QUEENSTOWN",103.8144064,1.291869975,"Margaret Drive","CENTRAL REGION"
10291,"BUKIT MERAH",103.8106587,1.292158553,"Alexandra Hill","CENTRAL REGION"
10299,"QUEENSTOWN",103.8114649,1.292334985,"Margaret Drive","CENTRAL REGION"
10321,"QUEENSTOWN",103.8158784,1.294283329,"Margaret Drive","CENTRAL REGION"
10329,"BUKIT MERAH",103.8159746,1.293646713,"Alexandra North","CENTRAL REGION"
10331,"BUKIT MERAH",103.8183442,1.281363066,"Bukit Merah","CENTRAL REGION"
10339,"BUKIT MERAH",103.8185725,1.281158351,"Bukit Merah","CENTRAL REGION"
10341,"BUKIT MERAH",103.820593,1.284846396,"Henderson Hill","CENTRAL REGION"
10349,"BUKIT MERAH",103.8210415,1.284983341,"Henderson Hill","CENTRAL REGION"
10351,"BUKIT MERAH",103.8220499,1.286755018,"Henderson Hill","CENTRAL REGION"
10359,"BUKIT MERAH",103.822593,1.287238333,"Henderson Hill","CENTRAL REGION"
10361,"BUKIT MERAH",103.8235303,1.280380921,"Kampong Tiong Bahru","CENTRAL REGION"
10369,"BUKIT MERAH",103.8238734,1.280374712,"Kampong Tiong Bahru","CENTRAL REGION"
10371,"BUKIT MERAH",103.8245027,1.283650723,"Henderson Hill","CENTRAL REGION"
10379,"BUKIT MERAH",103.8248952,1.283736034,"Tiong Bahru Station","CENTRAL REGION"
10381,"BUKIT MERAH",103.8255941,1.289069722,"Henderson Hill","CENTRAL REGION"
10389,"BUKIT MERAH",103.8257346,1.28875833,"Bukit Ho Swee","CENTRAL REGION"
10391,"BUKIT MERAH",103.8312564,1.276271053,"Kampong Tiong Bahru","CENTRAL REGION"
10399,"BUKIT MERAH",103.8301945,1.275881663,"Everton Park","CENTRAL REGION"
10401,"BUKIT MERAH",103.8116785,1.288167299,"Alexandra Hill","CENTRAL REGION"
10409,"BUKIT MERAH",103.8109932,1.287882218,"Alexandra Hill","CENTRAL REGION"
10411,"BUKIT MERAH",103.8128084,1.289129795,"Alexandra Hill","CENTRAL REGION"
10419,"BUKIT MERAH",103.8125755,1.288420242,"Alexandra Hill","CENTRAL REGION"
10421,"BUKIT MERAH",103.8150354,1.288970616,"Alexandra Hill","CENTRAL REGION"
10429,"BUKIT MERAH",103.8140481,1.289277906,"Alexandra Hill","CENTRAL REGION"
10431,"BUKIT MERAH",103.8139987,1.287083844,"Alexandra Hill","CENTRAL REGION"
10439,"BUKIT MERAH",103.8141894,1.287479569,"Alexandra Hill","CENTRAL REGION"
10441,"BUKIT MERAH",103.8116062,1.286568989,"Alexandra Hill","CENTRAL REGION"
10449,"BUKIT MERAH",103.8119538,1.286665525,"Alexandra Hill","CENTRAL REGION"
10451,"BUKIT MERAH",103.817256,1.287623803,"Redhill","CENTRAL REGION"
10459,"BUKIT MERAH",103.8163992,1.287547234,"Redhill","CENTRAL REGION"
10461,"TANGLIN",103.8116914,1.296805974,"Ridout","CENTRAL REGION"
