,0
1665,84069
1666,84289
1667,84249
1668,84239
1669,84229
1670,84219
1671,80101
1672,80319
1673,80309
1674,80299
1675,60191
1676,60241
1677,60251
1678,60249
1679,80291
1680,80301
1681,80311
1682,80109
1683,50051
1684,52241
1685,52211
1686,52159
1687,52149
1688,52139
1689,52131
1690,52141
1691,52151
1692,52219
1693,52249
1694,50279
1695,50259
1696,07249
1697,52509
1698,52329
1699,52081
1700,60081
1701,61061
1702,61009
1703,61079
1704,61101
1705,61089
1706,61099
1707,61069
1708,60089
1709,52089
1710,52321
1711,52501
1712,50037
1713,06189
1714,17011
1715,17021
1716,17381
1717,17031
1718,17041
1719,17061
1720,17071
1721,20291
1722,20281
1723,20131
1724,20141
1725,20199
1726,20189
1727,20259
1728,20161
1729,20171
1730,20239
1731,20219
1732,20209
1733,20261
1734,20271
1735,28221
1736,28231
1737,28241
1738,28439
1739,28301
1740,28431
1741,28249
1742,28239
1743,28229
1744,20269
1745,20201
1746,20211
1747,20231
1748,20179
1749,20169
1750,20181
1751,20191
1752,20149
1753,20139
1754,20289
1755,20299
1756,17079
1757,17069
1758,17049
1759,17039
1760,17389
1761,17029
1762,17019
1763,06171
1764,20159
1765,01329
1766,01229
1767,01139
1768,01039
1769,01029
1770,05199
1771,05269
1772,05429
1773,05419
1774,05431
1775,14241
1776,10331
1777,11389
1778,11379
1779,10339
1780,14249
1781,05651
1782,05411
1783,05421
1784,05271
1785,05241
1786,07241
1787,64369
1788,66371
1789,64361
1790,77139
1791,84481
1792,84701
1793,72031
1794,72041
1795,72051
1796,71091
1797,72019
1798,83119
1799,83109
1800,83151
1801,83139
1802,83129
1803,92209
1804,92309
1805,92301
1806,92201
1807,83121
1808,83159
1809,83169
1810,83101
1811,83111
1812,72011
1813,71099
1814,72059
1815,72049
1816,72039
1817,84709
1818,84489
1819,77141
1820,77131
1821,82009
1822,82221
1823,64249
1824,63071
1825,63081
1826,63091
1827,63101
1828,62231
1829,62241
1830,71051
1831,71029
1832,71179
1833,70149
1834,70139
1835,70129
1836,70119
1837,70109
1838,40091
1839,41011
1840,41021
1841,41031
1842,41041
1843,41051
1844,41061
1845,41071
1846,41081
1847,42011
1848,42021
1849,42031
1850,42041
1851,42051
1852,42061
1853,42149
1854,12109
1855,12099
1856,12089
1857,12079
